,company,date,title,All_Sectors,Admin Jobs,Charity & Voluntary Jobs,Consultancy Jobs,Customer Services Jobs,"Energy, Oil & Gas Jobs",Engineering Jobs,HR & Recruitment Jobs,Healthcare & Nursing Jobs,Hospitality & Catering Jobs,IT Jobs,Logistics & Warehouse Jobs,Manufacturing Jobs,Other/General Jobs,"PR, Advertising & Marketing Jobs",Property Jobs,Retail Jobs,Sales Jobs,Teaching Jobs,Trade & Construction Jobs,Travel Jobs,Unknown
0,NASCAR,2018-03-01,Senior Infrastructure/Cloud Engineer,Engineering Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Select Source International,2018-06-01,Field Engineer 4,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Superprof,2018-07-01,"Superprof, the USA’s 1 tutoring network, is offering you the chance to become a private ESL tutor - Charlotte",Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,First Future,2018-09-01,"ESL teacher,high salary,no commuting",Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,ESL Suite,2018-09-01,Online EFL/English Teacher,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,First Future,2018-09-01,Part-time English Teacher working onl,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,BlingABC by XDF,2018-09-01,Teach English Online From Home,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,First Future,2018-09-01,Online ESL English Teacher Wanted,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,First Future,2018-09-01,Online ESL Teachers for Chinese stude,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,First Future,2018-09-01,Online ESL- English Teacher,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,BlingABC by XDF,2018-10-01,Online ESL teacher,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,Oasys Sports,2018-10-01,Sports Technology Sales Consultant - Sales Experience Required,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,Duke Energy,2018-10-01,2019 IT Summer Internship,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Jacobs,2018-10-01,Civil Engineer in Training / Water,Engineering Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,BlingABC by XDF,2018-10-01,Online ESL Teacher $28-$36USD per 90,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,"TekPartners, A P2P Company",2018-10-01,Mobile QA Engineer,IT Jobs,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,Wood,2018-11-01,Entry-Level Civil Engineer,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Wood,2018-11-01,Utility Services Analyst,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Wood,2018-11-01,CEI Inspector 4,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Wood,2018-11-01,Structural Building Engineer,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Wood,2018-11-01,Survey Field Technician,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Wood,2018-11-01,Senior-level Civil Transportation Engineer,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Wood,2018-11-01,CEI Inspector Aid,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Wood,2018-11-01,Senior Civil / Geotechnical Engineer,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Wood,2018-11-01,Senior Environmental Engineer,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Wood,2018-11-01,Survey Party Chief,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Wood,2018-11-01,Field Technician Intern,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,VIPKid,2018-11-01,Online ESL Tutor for Children,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28,Duke Energy,2018-11-01,2019 Summer Intern - Transmission Planning,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Leidos,2018-11-01,Lead Distribution Engineer,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Wood,2018-11-01,Field Technician 2,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Duke Energy,2018-11-01,"Transmission Senior Engineer - Permitting & Engagement - Charlotte, NC","Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Duke Energy,2018-11-01,"Manager - Production Standards, Scoping and Support","Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Leidos,2018-11-01,Sr Distribution Engineer,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Duke Energy,2018-11-01,2019 Engineering Technology Intern - Full Year,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Duke Energy,2018-11-01,"Renewables - Engineering Intern - Charlotte, NC","Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Leidos,2018-11-01,Distribution Engineer,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Leidos,2018-11-01,Senior Distribution Engineer,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Enercon.,2018-11-01,Principal Engineer,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Enercon.,2018-11-01,Lead Distribution Line Engineer,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Duke Energy,2018-11-01,Lead Intelligence Analyst,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Duke Energy,2018-11-01,"Manager, Portfolio Analytics and Reporting","Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Duke Energy,2018-11-01,Digital Analytics Summer 2019 Intern,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Duke Energy,2018-11-01,IT Software Engineer,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Duke Energy,2018-11-01,Senior IT Software Engineer,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Duke Energy,2018-11-01,Contract Compliance Analyst,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Duke Energy,2018-11-01,Commercial Renewables Contract Analyst,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Tesla,2018-11-01,Service Advisor - Southeast Mobile Team (Charlotte),Engineering Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Tesla,2018-11-01,Customer Experience Specialist,Engineering Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Duke Energy,2018-11-01,Senior Project Accounting Specialist - Capital Projects,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Leidos,2018-11-01,Software Developer (MID),"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Leidos,2018-11-01,Jr Software Developer,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Siemens,2018-11-01,Principal Solution Architect or Solutions Architect - Manufacturing Operations Management – Charlot,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Siemens,2018-11-01,Sr. Application Support Engineer (Sustaining Engineer),"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Siemens,2018-11-01,Solution Architect - Teamcenter - Major U.S. City East Coast,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Tesla,2018-11-01,START Program Technician,Engineering Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Tesla,2018-11-01,"Service Advisor - Charlotte, NC (Matthews)",Engineering Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Leidos,2018-11-01,Site Integration Lead,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Tesla,2018-11-01,Gallery Advisor,Engineering Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Tesla,2018-11-01,Delivery Experience Specialist,Engineering Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Duke Energy,2018-11-01,Lead Change Management Consultant - IT and Cybersecurity,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Tesla,2018-11-01,Vehicle Prep Specialist,Engineering Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Tesla,2018-11-01,"Service Technician - Charlotte, NC",Engineering Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Embassy Suites Charlotte Uptown,2018-11-01,Housekeeper/Room Care - Embassy Suites Charlotte Uptown,Hospitality & Catering Jobs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
65,Sears Outlet Stores L.L.C.,2018-11-01,Merchandise Processor - Part Time,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
66,Sears Outlet Stores L.L.C.,2018-11-01,Retail Sales Associate-Base Pay  Commission & Bonus Potential,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
67,Duke Energy,2018-11-01,Senior Data Engineer - Artificial Intelligence,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Duke Energy,2018-11-01,Engineer III- Grid Solutions,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Duke Energy,2018-11-01,IT Security Analyst - Operational Compliance,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Duke Energy,2018-11-01,Senior Data Engineer - Hadoop,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Under Armour,2018-11-01,"Assistant Store Manager - Charlotte, NC",Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72,Duke Energy,2018-11-01,Transmission Substation Tech II,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Duke Energy,2018-11-01,Associate Data Science Consultant,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Leidos,2018-11-01,Sr Project Manager/Electric Utilities -Charlotte NC,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Leidos,2018-11-01,Associate Distribution Engineer,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Duke Energy,2018-11-01,"Associate, Business Development Manager","Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Duke Energy,2018-11-01,Systems Administrator-GIS,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Leidos,2018-11-01,Strategy Analyst (careC2),"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,BMS Unlimited,2018-11-01,""" Class A Truck Driver-Home Weekends-$1300$1800/week-Flatbed Exp Required",Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,LaowaiCareer,2018-11-01,Work From Home Teaching English Onlin,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
81,Duke Energy,2018-11-01,IT Business Analyst,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Duke Energy,2018-11-01,Senior IT Audit Consultant,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Leidos,2018-11-01,careC2 Product Manager,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Duke Energy,2018-11-01,Senior IT Security Analyst,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Duke Energy,2018-11-01,Technology Evaluation Manager,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Duke Energy,2018-11-01,Renewable Control Center Coordinator,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Vipkid,2018-11-01,Part Time - Online English Teacher,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88,Under Armour,2018-11-01,"Part - Time Sales Teammate - Charlotte, NC",Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
89,Under Armour,2018-11-01,"Part-Time Sales Leader - Charlotte, NC",Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
90,Under Armour,2018-11-01,"Part - Time Stock Teammate - Charlotte, NC",Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
91,Vipkid,2018-11-01,[Remote] Part-time Online Teacher,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
92,VIPKid,2018-11-01,Online English Instructor - Remote,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
93,WUHAO HONG KONG LIMITED,2018-11-01,Part-time online ESL teaching,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
94,"Paradies Atlanta,LLC",2018-12-01,Replenisher/Stocker - Charlotte Douglas International Airport,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
95,"The Paradies Shops, LLC",2018-12-01,Brand Associate - Charlotte Douglas International Airport,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
96,"Paradies Atlanta,LLC",2018-12-01,Retail Supervisor - Charlotte Douglas International Airport,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
97,"The Paradies Shops, LLC",2018-12-01,Assistant General Manager - Airport Retail - Multi Unit,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
98,VIPKid,2018-12-01,Online ESL Instructor - Remote,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
99,HomeTeam Pest Defense,2018-12-01,Outside Service Technician,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
100,HomeTeam Pest Defense,2018-12-01,Outside Sales Representative,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
101,Orkin,2018-12-01,Outside Sales Professional,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
102,Orkin,2018-12-01,Customer Service Specialist,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
103,Transn IOL Technology Co..Ltd,2018-12-01,Comics Translation: Chinese-Spanish,Other/General Jobs,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
104,New York Life,2018-12-01,Entry Level Financial Professional,Sales Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
105,TruTech Wildlife Services,2018-12-01,Wildlife Route Specialist,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
106,Piedmont Plastics,2018-12-01,Business Development - Performance Glazing Specialist,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
107,Piedmont Plastics,2018-12-01,C# Application Developer/Programmer,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
108,VIPKid,2018-12-01,Online English Teacher for Children,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
