,company,date,title,All_Sectors,Accounting & Finance Jobs,Admin Jobs,Consultancy Jobs,Domestic help & Cleaning Jobs,"Energy, Oil & Gas Jobs",Engineering Jobs,HR & Recruitment Jobs,Healthcare & Nursing Jobs,Hospitality & Catering Jobs,IT Jobs,Logistics & Warehouse Jobs,Manufacturing Jobs,Other/General Jobs,"PR, Advertising & Marketing Jobs",Retail Jobs,Sales Jobs,Teaching Jobs,Trade & Construction Jobs,Unknown
0,Superprof,2018-07-01,"Superprof, the USA’s 1 tutoring network, is offering you the chance to become a private Academic English tutor - Cleveland",Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,Babysits,2018-07-01,Babysitter wanted in Cleveland - babysitting Cleveland,Domestic help & Cleaning Jobs,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Dollar General,2018-08-01,"LEAD SALES ASSOCIATE-FT in CLEVELAND, AL",Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,First Future,2018-09-01,"ESL teacher,high salary,no commuting",Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,BlingABC by XDF,2018-09-01,Teach English Online From Home,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,First Future,2018-09-01,Online ESL English Teacher Wanted,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,First Future,2018-09-01,Part-time English Teacher working onl,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,First Future,2018-09-01,Online ESL- English Teacher,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,First Future,2018-09-01,Online ESL Teachers for Chinese stude,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,ESL Suite,2018-09-01,Online EFL/English Teacher,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,BlingABC by XDF,2018-10-01,Online ESL teacher,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,Jacobs,2018-10-01,Senior CQV Engineer,Engineering Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Jacobs,2018-10-01,CQV Utility Start-Up Engineer,Engineering Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Jacobs,2018-10-01,Field Construction Engineer/Inspector – Rail (Part Time),Engineering Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Jacobs,2018-10-01,CQV Engineer - Mid Level,Engineering Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Jacobs,2018-10-01,CQV Engineer,Engineering Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,BlingABC by XDF,2018-10-01,Online ESL Teacher $28-$36USD per 90,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,VIPKid,2018-11-01,Online ESL Tutor for Children,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,C.R. England,2018-11-01,"Become a Truck Driver We Train, We Hire - Guaranteed",Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,C.R. England,2018-11-01,"CDL Training School We Train, We Hire - Guaranteed",Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,BP,2018-11-01,Tank Farm Operator (TEMPORARY),"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Dominion Energy,2018-11-01,Intern - Gas Operations (Cleveland Area),"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Tesla,2018-11-01,Customer Experience Specialist,Engineering Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Tesla,2018-11-01,Service Assistant,Engineering Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Tesla,2018-11-01,Service Technician,Engineering Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Tesla,2018-11-01,Service Detailer,Engineering Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Tesla,2018-11-01,Service Advisor,Engineering Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Tesla,2018-11-01,Owner Advisor,Engineering Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Tesla,2018-11-01,Parts Advisor,Engineering Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Tesla,2018-11-01,Delivery Experience Specialist,Engineering Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Tesla,2018-11-01,Mobile Service Advisor,Engineering Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Cargill,2018-11-01,Maintenance Supervisor,Engineering Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Leidos,2018-11-01,Service Delivery Manager NASA NEST,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Leidos,2018-11-01,Glenn Center Ops Manager,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Leidos,2018-11-01,Health Physicist,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,BMS Unlimited,2018-11-01,""" Class A Truck Driver-Home Weekends-$1000/week-4day work week",Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,LaowaiCareer,2018-11-01,Work From Home Teaching English Onlin,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,Leidos,2018-11-01,Surveyor / GMS Designer / CAD Technician,"Energy, Oil & Gas Jobs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Vipkid,2018-11-01,Part Time - Online English Teacher,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,Vipkid,2018-11-01,[Remote] Part-time Online Teacher,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40,VIPKid,2018-11-01,Online English Instructor - Remote,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,WUHAO HONG KONG LIMITED,2018-11-01,Part-time online ESL teaching,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42,Waste Connections,2018-12-01,"Residential Driver - $2,000 stay-on bonus",Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
43,Dedicated Services,2018-12-01,Class A CDL Truck Driver Jobs for Recent Graduates  Those Looking to Obtain Their CDL,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,Cr England,2018-12-01,Premier Truck Driving School & Paid CDL Training- Apply Today,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,VIPKid,2018-12-01,Online ESL Instructor - Remote,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
46,Hyatt Place Legacy Village,2018-12-01,Asst General Manager - Hyatt Place Legacy Village Cleveland OH,Hospitality & Catering Jobs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
47,Transn IOL Technology Co..Ltd,2018-12-01,Comics Translation: Chinese-Spanish,Other/General Jobs,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
48,"The Kitchen Cafe, LLC",2018-12-01,Host,Hospitality & Catering Jobs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49,"The Kitchen Cafe, LLC",2018-12-01,Server,Hospitality & Catering Jobs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50,Transport America,2018-12-01,$10K Sign on Bonus Dedicated PPG Team CDL A Truck Driver,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,VIPKid,2018-12-01,Online English Teacher for Children,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52,beeline Group,2018-12-01,Jewelry Merchandiser - Central Cleveland,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,"Quest Diagnostics   Cleveland, OH",2018-12-01,Medical Technologist,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,Menzies Aviation,2018-12-01,GSE Mechanic,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,Parker Gas/RapidXChange,2018-12-01,CDL Class B Delivery Driver,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,青尚国际,2018-12-01,$15 - $25/hr on-line teacher,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
57,BCG Attorney Search,2018-12-01,Litigation Associate Attorney,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
58,Insomnia Cookies,2018-12-01,Shift Leader (City),Sales Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
59,Federal Reserve Bank ,2018-12-01,Site Reliability Engineer Associate/Site Reliability Engineer/Site Reliability Engineer Sr.,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
60,Mohawk Global Logistics,2018-12-01,Import Coordinator,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
61,TruckerTime Xpress,2018-12-01,CDL A Regional Driver in Cleveland,HR & Recruitment Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
62,Hajoca Corporation,2018-12-01,Office Administrator,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
63,Hajoca Corporation,2018-12-01,Showroom Salesperson,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
64,Hajoca Corporation,2018-12-01,Counter Salesperson,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
65,Hajoca Corporation,2018-12-01,Inside Sales/CSR,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
66,BCG Attorney Search,2018-12-01,Civil Litigation Partner,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
67,Hajoca Corporation,2018-12-01,Warehouse Employee,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
68,Target Corporation,2018-12-01,Beauty Team Member,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69,Best Buy,2018-12-01,"Geek Squad HT Agent (Cleveland, OH)","PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
70,Robert Half International,2018-12-01,Staffing Executive RHMR Salaried Professional Services,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
71,Federal Reserve Bank,2018-12-01,Operations Analyst,Accounting & Finance Jobs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Best Buy,2018-12-01,"Geek Squad Technician/Cadet (Cleveland, OH)","PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
73,UsaSurveyJob,2018-12-01,Work from Home Data Entry,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
74,Usa Survey Job,2018-12-01,Data Entry clerk Work at Home,Admin Jobs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Usa Survey Job,2018-12-01,Administrative Assistant,Admin Jobs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,White Asset Management,2018-12-01,General Laborer,Trade & Construction Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
77,"Yardmaster, Inc",2019-01-01,Talent Acquisition Specialist,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
78,Worldwide Logistic Partners Inc,2019-01-01,Logistics Sales Professionals - Home Office,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
79,UsaSurveyJob,2019-01-01,Data Entry Clerk - Work from Home,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
80,BSM Consulting,2019-01-01,Chief Operating Officer (Retina Associates of Cleveland),Consultancy Jobs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Cleveland State University,2019-01-01,Administrative Secretary 1,Admin Jobs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Cr England,2019-01-01,We Train New Truck Drivers Apply Today- Sign up Today,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
83,Cr England,2019-01-01,We Train New Truck Drivers Apply Today- Apply Today,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
84,Transport America,2019-01-01,$5K Sign on Bonus Dedicated Transplace CDL A Truck Driver,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
85,Patterson & Dewar Engineers,2019-01-01,Project Superintendent (Contract),IT Jobs,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
86,PARKER HANNIFIN CORP,2019-01-01,Intern - Corporate Summer Intern Program - Business,Accounting & Finance Jobs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,University Hospitals,2019-01-01,Secretary Doctors 2-Peds ENT-CMC,Admin Jobs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Emerald Resource Group,2019-01-01,Senior BI Developer,Engineering Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Cr England,2019-01-01,Entry-Level CDL-A Truck Drivers - Paid Training- Sign up Today,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
90,Five Star Senior Living Inc.,2019-01-01,Resident Assistant - AL,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
91,Army National Guard,2019-01-01,92A Automated Logistical Specialist - Supply Chain,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
92,DHL Global Forwarding,2019-01-01,Ocean Import Agent,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
93,Worldwide Flight Services,2019-01-01,Ramp Service Agent,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
94,"BGC Partners, Cantor Fitzgerald, Newmark Knight Frank, and GFI Group",2019-01-01,Property Manager,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
95,"BGC Partners, Cantor Fitzgerald, Newmark Knight Frank, and GFI Group",2019-01-01,Assistant Property Manager,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
96,Rock &amp; Roll Hall of Fame,2019-01-01,Payroll & Benefit Specialist,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
97,Action Resources,2019-01-01,CDL-A OTR Owner Operator Truck Driver - Tanker,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
98,"Decker Truck Line, Inc.",2019-01-01,Reefer CDL-A Truck Driver,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
99,Sherwin Williams,2019-01-01,Senior Software Quality Assurance Analyst,Hospitality & Catering Jobs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100,Novo Nordisk,2019-01-01,Pharma Field Sales Health System Diabetes Care Spcst.-Cleveland Clinic Job,Healthcare & Nursing Jobs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
101,Kaynes Technology,2019-01-01,Big Data Python/Spark Architect,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
102,Hajoca Corporation,2019-01-01,Management Trainee,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
103,Federal Reserve Bank ,2019-01-01,Senior Communications Coordinator,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
104,Saturn Freight Systems,2019-01-01,Transportation Sales Professionals - Full-Time & P/T - Home Office - Salary W/Comm. or Comm. Only,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
105,Halleen Kia,2019-01-01,Quick Lube Technician,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
106,"Flexjet, LLC.",2019-01-01,Financial Analyst,Trade & Construction Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
107,BCG Attorney Search,2019-01-01,Lateral Litigation Partner,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
108,Robert Half International,2019-01-01,Recruiting Manager RH Finance and Accounting,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
109,BCG Attorney Search,2019-01-01,Mid-level Mergers and Acquisitions Associate Attorney,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
110,Ogletree Deakins,2019-01-01,Employment Litigation Associate,Accounting & Finance Jobs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Logistic Dynamics Inc.,2019-01-01,Freight Broker Agent - Experience Required,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
112,"Core Mark International, Inc.",2019-01-01,National Account Manager,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
113,Pathmark Transportation,2019-01-01,Freight Agent / Freight Broker,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
114,DSL EX   Villa Park,2019-01-01,OTR Company Driver,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
115,Grace Hospital,2019-01-01,Clinical Liaison (RN),Healthcare & Nursing Jobs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
116,Jack Entertainment LLC,2019-01-01,Slot Attendant - Part Time,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
117,Jack Entertainment LLC,2019-01-01,Baker I,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
118,Federal Reserve Bank ,2019-01-01,Senior HR Business Partner,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
119,Federal Reserve Bank ,2019-01-01,Associate Examiner/Examiner/Senior Examiner - Regulatory Applications and Enforcement,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
120,Henkel Corporation,2019-01-01,Custodian,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
121,Pathmark Transportation,2019-01-01,Freight Broker Agents / Agency Owners,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
122,TruckerTime Xpress,2019-01-01,Regional Class A Truck Driver Wanted,HR & Recruitment Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
123,EF English First,2019-01-01,English Teacher - Teach English in China,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
124,Robert Half International,2019-01-01,Sr. Lead Admin,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
125,Family Resource Agency,2019-01-01,Education Quality Monitor,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
126,Family Resource Agency,2019-01-01,Substitute Teacher,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
127,Family Resource Agency,2019-01-01,Career Development Specialist,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
128,Family Resource Agency,2019-01-01,Lead Teacher,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
129,Courtyard by Marriott Cleveland UCI,2019-01-01,Cook - Courtyard by Marriott Cleveland UCI,Hospitality & Catering Jobs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
130,Case Western Reserve University,2019-01-01,Associate Director of Alumni Relations,HR & Recruitment Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
131,Case Western Reserve University,2019-01-01,"Archivist, Scholarly Resources & Special Collections - Librarian 3","PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
132,Case Western Reserve University,2019-01-01,Director of Adolescent Surveillance and Evaluation,HR & Recruitment Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
133,DHL Global Forwarding,2019-01-01,Senior Sales Executive,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
134,TRAC Intermodal,2019-01-01,Chassis Mechanic - CSX Cleveland - 152nd Street,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
135,Avis Budget Group,2019-01-01,Vehicle Maintenance Associate/Oil Tire Changer,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
136,Avis Budget Group,2019-01-01,Part Time Vehicle Service Attendant (Car Cleaner),Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
137,Avis Budget Group,2019-01-01,Vehicle Service Attendant (Car Cleaner),Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
138,BCG Attorney Search,2019-01-01,Consumer Financial Services Compliance Associate Attorney,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
139,Michael Baker International,2019-01-01,Engineering Intern (Transportation),"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
140,BCG Attorney Search,2019-01-01,Business and Finance Associate Attorney,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
141,EG Industries,2019-01-01,Production Supervisor,Manufacturing Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
142,Michael Baker International,2019-01-01,CADD Technician - Transportation,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
143,Ascension Health,2019-01-01,Certified Medical Assistant (CMA),Healthcare & Nursing Jobs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
144,Chamberlain College of Nursing,2019-01-01,Admissions Advisor,HR & Recruitment Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
145,"Decker Truck Line, Inc.",2019-01-01,Reefer CDL-A Truck Driver,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
146,Wiseway Transportation Services,2019-01-01,CDL A OTR Drivers Needed,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
147,WellCare,2019-01-01,Director Provider Relations,Healthcare & Nursing Jobs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
