,company,date,title,All_Sectors,Accounting & Finance Jobs,Logistics & Warehouse Jobs,Manufacturing Jobs,Other/General Jobs,"PR, Advertising & Marketing Jobs",Property Jobs,Retail Jobs,Teaching Jobs,Unknown
0,Superprof,2018-07-01,"Superprof, the USA’s 1 tutoring network, is offering you the chance to become a private Algebra tutor - Allentown",Teaching Jobs,0,0,0,0,0,0,0,1,0
1,BlingABC by XDF,2018-09-01,Teach English Online From Home,Teaching Jobs,0,0,0,0,0,0,0,1,0
2,First Future,2018-09-01,"ESL teacher,high salary,no commuting",Teaching Jobs,0,0,0,0,0,0,0,1,0
3,First Future,2018-09-01,Online ESL English Teacher Wanted,Teaching Jobs,0,0,0,0,0,0,0,1,0
4,First Future,2018-09-01,Online ESL Teachers for Chinese stude,Teaching Jobs,0,0,0,0,0,0,0,1,0
5,First Future,2018-09-01,Online ESL- English Teacher,Teaching Jobs,0,0,0,0,0,0,0,1,0
6,First Future,2018-09-01,Part-time English Teacher working onl,Teaching Jobs,0,0,0,0,0,0,0,1,0
7,ESL Suite,2018-09-01,Online EFL/English Teacher,Teaching Jobs,0,0,0,0,0,0,0,1,0
8,BlingABC by XDF,2018-10-01,Online ESL teacher,Teaching Jobs,0,0,0,0,0,0,0,1,0
9,BlingABC by XDF,2018-10-01,Online ESL Teacher $28-$36USD per 90,Teaching Jobs,0,0,0,0,0,0,0,1,0
10,"The Kyle David Group, LLC",2018-10-01,Technical Support Assistant,Unknown,0,0,0,0,0,0,0,0,1
11,VIPKid,2018-11-01,Online ESL Tutor for Children,Teaching Jobs,0,0,0,0,0,0,0,1,0
12,Chain Bytes LLC,2018-11-01,Project Manager,Unknown,0,0,0,0,0,0,0,0,1
13,BMS Unlimited,2018-11-01,""" Class A Truck Driver-Home Daily-$1100$1500/week-Night Driving",Unknown,0,0,0,0,0,0,0,0,1
14,LaowaiCareer,2018-11-01,Work From Home Teaching English Onlin,Teaching Jobs,0,0,0,0,0,0,0,1,0
15,Vipkid,2018-11-01,Part Time - Online English Teacher,Teaching Jobs,0,0,0,0,0,0,0,1,0
16,Vipkid,2018-11-01,[Remote] Part-time Online Teacher,Teaching Jobs,0,0,0,0,0,0,0,1,0
17,VIPKid,2018-11-01,Online English Instructor - Remote,Teaching Jobs,0,0,0,0,0,0,0,1,0
18,WUHAO HONG KONG LIMITED,2018-11-01,Part-time online ESL teaching,Teaching Jobs,0,0,0,0,0,0,0,1,0
19,VIPKid,2018-12-01,Online ESL Instructor - Remote,Teaching Jobs,0,0,0,0,0,0,0,1,0
20,Chain Bytes LLC,2018-12-01,Director for Marketing,Unknown,0,0,0,0,0,0,0,0,1
21,"The Kyle David Group, LLC",2018-12-01,Project Specialist,Unknown,0,0,0,0,0,0,0,0,1
22,Chain Bytes LLC,2018-12-01,Node.Js React,Unknown,0,0,0,0,0,0,0,0,1
23,Chain Bytes LLC,2018-12-01,Operations Manager for a Blockchain Company Needed,Unknown,0,0,0,0,0,0,0,0,1
24,Transn IOL Technology Co..Ltd,2018-12-01,Comics Translation: Chinese-Spanish,Other/General Jobs,0,0,0,1,0,0,0,0,0
25,VIPKid,2018-12-01,Online English Teacher for Children,Teaching Jobs,0,0,0,0,0,0,0,1,0
26,Hilton Garden Inn Allentown Bethlehem Airport,2018-12-01,Cook,Unknown,0,0,0,0,0,0,0,0,1
27,"Jillamy, Inc.",2018-12-01,Int'l Sales Executive Supply Chain Logistics-Remote,Logistics & Warehouse Jobs,0,1,0,0,0,0,0,0,0
28,青尚国际,2018-12-01,$15 - $25/hr on-line teacher,"PR, Advertising & Marketing Jobs",0,0,0,0,1,0,0,0,0
29,Winholt Equipment,2018-12-01,Metal Finisher/Polisher,Unknown,0,0,0,0,0,0,0,0,1
30,Winholt Equipment,2018-12-01,Welder,Unknown,0,0,0,0,0,0,0,0,1
31,Winholt Equipment,2018-12-01,Press Break/Shear Operator,Unknown,0,0,0,0,0,0,0,0,1
32,myHR Partner,2018-12-01,Human Resources Manager,Accounting & Finance Jobs,1,0,0,0,0,0,0,0,0
33,Health Network Laboratories,2018-12-01,Phlebotomist - 1251 PSC,Logistics & Warehouse Jobs,0,1,0,0,0,0,0,0,0
34,Penske,2018-12-01,Diesel Technician/Mechanic III - Entry Level,Logistics & Warehouse Jobs,0,1,0,0,0,0,0,0,0
35,"Advantage Engineers, LLC",2019-01-01,Geotechnical Specialist I,"PR, Advertising & Marketing Jobs",0,0,0,0,1,0,0,0,0
36,Diakon Logistics,2019-01-01,3PL Delivery Manager,Logistics & Warehouse Jobs,0,1,0,0,0,0,0,0,0
37,Target Corporation,2019-01-01,Beauty Team Member,Retail Jobs,0,0,0,0,0,0,1,0,0
38,Hajoca Corporation,2019-01-01,Management Trainee,"PR, Advertising & Marketing Jobs",0,0,0,0,1,0,0,0,0
39,DLP Direct Lending Partners,2019-01-01,Credit Underwriter,Property Jobs,0,0,0,0,0,1,0,0,0
40,Penske,2019-01-01,Diesel Technician/Mechanic I,Logistics & Warehouse Jobs,0,1,0,0,0,0,0,0,0
41,EF English First,2019-01-01,English Teacher - Teach English in China,Teaching Jobs,0,0,0,0,0,0,0,1,0
42,Army National Guard,2019-01-01,92Y Unit Supply Specialist - Warehouse Manager,Logistics & Warehouse Jobs,0,1,0,0,0,0,0,0,0
43,Army National Guard,2019-01-01,92G Food Service Specialist,Logistics & Warehouse Jobs,0,1,0,0,0,0,0,0,0
44,Army National Guard,2019-01-01,68W Health Care Specialist,Logistics & Warehouse Jobs,0,1,0,0,0,0,0,0,0
45,Penske,2019-01-01,Customer Service Representative (Fueler/Washer/Detailer),Logistics & Warehouse Jobs,0,1,0,0,0,0,0,0,0
46,Core & Main,2019-01-01,Warehouse Associate I,Logistics & Warehouse Jobs,0,1,0,0,0,0,0,0,0
47,Michael Baker International,2019-01-01,Transportation Construction Inspector Supervisor,"PR, Advertising & Marketing Jobs",0,0,0,0,1,0,0,0,0
48,Michael Baker International,2019-01-01,Senior Land Development Engineer,"PR, Advertising & Marketing Jobs",0,0,0,0,1,0,0,0,0
49,Michael Baker International,2019-01-01,Transportation Construction Inspector,"PR, Advertising & Marketing Jobs",0,0,0,0,1,0,0,0,0
50,Michael Baker International,2019-01-01,Transportation Construction Manager,"PR, Advertising & Marketing Jobs",0,0,0,0,1,0,0,0,0
51,Michael Baker International,2019-01-01,Transportation Assistant,"PR, Advertising & Marketing Jobs",0,0,0,0,1,0,0,0,0
52,JACK WILLIAMS TIRE CO,2019-01-01,Automotive Technician-Allentown,Manufacturing Jobs,0,0,1,0,0,0,0,0,0
53,JACK WILLIAMS TIRE CO,2019-01-01,Tire and Lube Technician-Allentown,Manufacturing Jobs,0,0,1,0,0,0,0,0,0
