,company,date,title,All_Sectors,Customer Services Jobs,"Energy, Oil & Gas Jobs",Engineering Jobs,HR & Recruitment Jobs,Hospitality & Catering Jobs,Logistics & Warehouse Jobs,Manufacturing Jobs,Other/General Jobs,"PR, Advertising & Marketing Jobs",Property Jobs,Retail Jobs,Teaching Jobs,Trade & Construction Jobs,Travel Jobs,Unknown
0,Superprof,2018-07-01,"Superprof, the USA’s 1 tutoring network, is offering you the chance to become a private Trigonometry tutor - Dayton",Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,Creative Foam Corporation,2018-07-01,Maintenance Technician,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,First Future,2018-09-01,Online ESL- English Teacher,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,ESL Suite,2018-09-01,Online EFL/English Teacher,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,First Future,2018-09-01,Online ESL English Teacher Wanted,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,First Future,2018-09-01,"ESL teacher,high salary,no commuting",Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,First Future,2018-09-01,Part-time English Teacher working onl,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,First Future,2018-09-01,Online ESL Teachers for Chinese stude,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,BlingABC by XDF,2018-09-01,Teach English Online From Home,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,BlingABC by XDF,2018-10-01,Online ESL teacher,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,Jacobs,2018-10-01,Information Assurance Specialist Journeyman,Engineering Jobs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,BlingABC by XDF,2018-10-01,Online ESL Teacher $28-$36USD per 90,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,NOV,2018-10-01,Technical Sales Specialist,"Energy, Oil & Gas Jobs",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Leidos,2018-10-01,Senior Research Scientist,"Energy, Oil & Gas Jobs",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Forum,2018-11-01,Technician I,"Energy, Oil & Gas Jobs",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,VIPKid,2018-11-01,Online ESL Tutor for Children,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,NOV,2018-11-01,Manufacturing Engineer,"Energy, Oil & Gas Jobs",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,NOV,2018-11-01,Application Engineer,"Energy, Oil & Gas Jobs",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,NOV,2018-11-01,Refurb Technician,"Energy, Oil & Gas Jobs",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,NOV,2018-11-01,Sr. Fitter/ Welder,"Energy, Oil & Gas Jobs",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,NOV,2018-11-01,Engineering Designer,"Energy, Oil & Gas Jobs",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Jacobs,2018-11-01,Business Systems Analyst 1,Engineering Jobs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,NOV,2018-11-01,QC Inspector,"Energy, Oil & Gas Jobs",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Forum,2018-11-01,Assembler I,"Energy, Oil & Gas Jobs",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,NOV,2018-11-01,CNC Programmer,"Energy, Oil & Gas Jobs",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Ferrellgas,2018-11-01,Local Class A Driver,"Energy, Oil & Gas Jobs",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Forum,2018-11-01,Manager Accounting II,"Energy, Oil & Gas Jobs",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Marathon Petroleum,2018-11-01,Casual Light Products Driver,"Energy, Oil & Gas Jobs",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,NOV,2018-11-01,CNC Machinist,"Energy, Oil & Gas Jobs",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Marathon Petroleum,2018-11-01,Light Products Transport Drivers,"Energy, Oil & Gas Jobs",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Tesla,2018-11-01,Mobile Service Technician - Dayton,Engineering Jobs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31,Leidos,2018-11-01,Network Engineer,"Energy, Oil & Gas Jobs",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Leidos,2018-11-01,Satellite Analyst,"Energy, Oil & Gas Jobs",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Leidos,2018-11-01,Maritime PIR Analyst,"Energy, Oil & Gas Jobs",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Leidos,2018-11-01,CAD Modeling Engineer,"Energy, Oil & Gas Jobs",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Leidos,2018-11-01,Maritime PIR Engineer,"Energy, Oil & Gas Jobs",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Leidos,2018-11-01,Electrical Engineer,"Energy, Oil & Gas Jobs",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Leidos,2018-11-01,Senior Optical Test Engineer,"Energy, Oil & Gas Jobs",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Leidos,2018-11-01,Software Engineer,"Energy, Oil & Gas Jobs",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,BMS Unlimited,2018-11-01,""" Class A Truck Driver-Home Weekends-$1300$1800/week-Flatbed Exp Required",Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,Leidos,2018-11-01,Remote Sensing Systems Engineer,"Energy, Oil & Gas Jobs",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,LaowaiCareer,2018-11-01,Work From Home Teaching English Onlin,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
42,Vipkid,2018-11-01,Part Time - Online English Teacher,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
43,Vipkid,2018-11-01,[Remote] Part-time Online Teacher,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44,VIPKid,2018-11-01,Online English Instructor - Remote,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
45,WUHAO HONG KONG LIMITED,2018-11-01,Part-time online ESL teaching,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
46,"Paradies Cooper, LLC",2018-11-01,Sales Associate,Retail Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
47,VIPKid,2018-12-01,Online ESL Instructor - Remote,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
48,Orkin,2018-12-01,Outside Sales Representative,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50,Orkin,2018-12-01,Customer Service Specialist,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
51,Marriott Dayton,2018-12-01,Restaurant Host(ess) - Marriott University of Dayton / Dayton OH,Hospitality & Catering Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52,Transn IOL Technology Co..Ltd,2018-12-01,Comics Translation: Chinese-Spanish,Other/General Jobs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
53,Marriott Dayton,2018-12-01,Cook - Marriott University of Dayton / Dayton OH - PM Shift,Hospitality & Catering Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54,VIPKid,2018-12-01,Online English Teacher for Children,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
55,Marriott Dayton,2018-12-01,Preventative Maintenance - Marriott University of Dayton / Dayton OH,Hospitality & Catering Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
56,青尚国际,2018-12-01,$15 - $25/hr on-line teacher,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
57,Robert Half International,2018-12-01,"RObert Half Technology, Account Executive","PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
58,Robert Half International,2018-12-01,Stafffing Support,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
59,Optonicus,2018-12-01,Electronics Technician,Trade & Construction Jobs,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
60,Creative Foam Corporation,2018-12-01,2nd Shift Production Team Associate,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,HOHMAN PLATING & MFG LLC,2018-12-01,Waste Water Treatment Technician - 2nd shift,Manufacturing Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
62,HOHMAN PLATING & MFG LLC,2018-12-01,Product Manager/Estimator,Manufacturing Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
63,HOHMAN PLATING & MFG LLC,2018-12-01,Process Technician (Electroplating/Aerospace),Manufacturing Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
64,HOHMAN PLATING & MFG LLC,2018-12-01,Product Business Manager,Manufacturing Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
65,HOHMAN PLATING & MFG LLC,2018-12-01,Facilities Engineer (Manufacturing),Manufacturing Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
66,Regus,2018-12-01,Part Time Community Associate,Customer Services Jobs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Best Buy,2018-12-01,Merchandising Specialist,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
68,Penske,2019-01-01,Fleet Maintenance Supervisor,Logistics & Warehouse Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
69,Jacobson Warehouse,2019-01-01,Forklift Operator - 1st Shift,Travel Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
70,Jacobson Warehouse,2019-01-01,Forklift Operator - Afternoon Shift,Travel Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
71,"Crown Personnel Services, Inc.",2019-01-01,Case Manager- Youth,HR & Recruitment Jobs,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72,Penske,2019-01-01,Diesel Technician/Mechanic III - Entry Level,Logistics & Warehouse Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
73,Best Buy,2019-01-01,"Sales Consultant - Gaming, Ent, DI","PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
74,HOHMAN PLATING & MFG LLC,2019-01-01,Process Engineer (Chemical/Aerospace Coatings),Manufacturing Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
75,HOHMAN PLATING & MFG LLC,2019-01-01,Quality Final Inspector (Production/Aerospace),Manufacturing Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
76,Best Buy,2019-01-01,Sales Consultant - Home Theater,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
77,Best Buy,2019-01-01,Technician/Agent. Geek Squad Advance Repair,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
78,Army National Guard,2019-01-01,91B Light-Wheel Vehicle Mechanic,Logistics & Warehouse Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
79,Army National Guard,2019-01-01,92F Petroleum Supply Specialist,Logistics & Warehouse Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
80,O'Reilly Auto Parts,2019-01-01,Retail Merchandise Stocker,Logistics & Warehouse Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
81,Emerson Electric Co,2019-01-01,IT Business System Analyst - ServiceNow,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
82,Robert Half International,2019-01-01,Recruiting Manager RH Finance and Accounting,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
83,BCG Attorney Search,2019-01-01,Commercial Real Estate Associate Attorney,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
84,HOHMAN PLATING & MFG LLC,2019-01-01,"Environmental, Health & Safety Specialist (Industrial)",Manufacturing Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
85,Five Star Senior Living,2019-01-01,Resident Assistant - AL in Clinical,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,Emerson Electric Co,2019-01-01,Vice President - Marketing,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
87,Emerson Electric Co,2019-01-01,Sound and Vibration Engineer,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
88,Emerson Electric Co,2019-01-01,"Director, Marketing - Residential Air Conditioning","PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
89,Edward Jones,2019-01-01,"Branch Office Administrator - 97505 - Dayton, OH",Property Jobs,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
90,HOHMAN PLATING & MFG LLC,2019-01-01,Janitor - 2nd shift - FULL TIME (Starting pay $15 hr),Manufacturing Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
92,DRS Technologies,2019-01-01,Sr Program Manager - DTN,Manufacturing Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
93,Giordano's Restaurants,2019-01-01,Cook,Customer Services Jobs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Emerson Electric Co,2019-01-01,Production Team Member,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
95,"Premium Retail Services, Inc.",2019-01-01,Retail Specialist,Retail Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
96,DSL EX   Villa Park,2019-01-01,OTR Company Driver,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97,Marriott Dayton,2019-01-01,Housekeeping Lobby Attendant - Marriott University of Dayton / Dayton OH,Hospitality & Catering Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
98,Marriott Dayton,2019-01-01,Housekeeper/Room Care - Marriott University of Dayton / Dayton OH,Hospitality & Catering Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
99,HOHMAN PLATING & MFG LLC,2019-01-01,Maintenance Technician - 3rd shift - Full-time benefits,Manufacturing Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
100,HOHMAN PLATING & MFG LLC,2019-01-01,Production Lab Technician - 3rd shift - Full-time benefits,Manufacturing Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
101,Marriott Dayton,2019-01-01,Restaurant Supervisor - Marriott University of Dayton / Dayton OH,Hospitality & Catering Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
102,EF English First,2019-01-01,English Teacher - Teach English in China,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
103,EF English First,2019-01-01,English Teacher - Work Abroad with Upfront Paid Flights - No Experience Required,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
104,Army National Guard,2019-01-01,94P Multiple Launch Rocket System Repairer,Logistics & Warehouse Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
105,Penske,2019-01-01,Warehouse Worker,Logistics & Warehouse Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
106,Emerson Electric Co,2019-01-01,Co-op - Marketing - Multiple Positions (Summer 2019 - May Start),"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
107,Emerson Electric Co,2019-01-01,Co-op - Chemistry (Summer 2019),"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
108,Emerson Electric Co,2019-01-01,Co-op - Manufacturing Engineering - Multiple Positions (Summer 2019 - May Start),"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
109,Emerson Electric Co,2019-01-01,Co-op - Electrical Engineering (Summer 2019 - May Start),"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
110,Emerson Electric Co,2019-01-01,Co-op - Human Resources (Summer 2019 - May Start),"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
111,Emerson Electric Co,2019-01-01,Co-op - Quality Engineering - Multiple Positions (Summer 2019 - May Start),"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
112,Emerson Electric Co,2019-01-01,"Co-op - Accounting and Finance, May 2019 (Summer Start)","PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
113,Emerson Electric Co,2019-01-01,"Co-op - Computer Science, IT, MIS (Summer 2019 - May Start)","PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
114,Marriott Dayton,2019-01-01,Laundry Supervisor - Marriott University of Dayton / Dayton OH,Hospitality & Catering Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
115,Emerson Electric Co,2019-01-01,Co-op - Human Resources (Fall 2019 - August Start),"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
116,Emerson Electric Co,2019-01-01,Co-op - Supply Chain & Operations Management - Multiple Positions (Summer 2019 - May Start),"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
117,Marriott Dayton,2019-01-01,Kitchen Supervisor - Marriott University of Dayton / Dayton OH,Hospitality & Catering Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
118,Emerson Electric Co,2019-01-01,Co-op - Testing & Project Engineering - Multiple Positions (Summer 2019 - May Start),"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
119,Emerson Electric Co,2019-01-01,Co-op - Research & Analytical Engineering - Multiple Positions (Summer 2019 - May Start),"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
120,Serv U Success,2019-01-01,Grocery Retail Merchandiser,Retail Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
121,Keurig Dr Pepper,2019-01-01,Warehouse Picker Order Selector,Logistics & Warehouse Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
122,Marriott Dayton,2019-01-01,Front Desk Supervisor - Marriott University of Dayton / Dayton OH,Hospitality & Catering Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
123,Best Buy,2019-01-01,Apple Mobile Master,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
124,Best Buy,2019-01-01,Customer Service Specialist,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
125,Emerson Electric Co,2019-01-01,Co-op - Industrial Design (Summer 2019),"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
126,Emerson Electric Co,2019-01-01,"Co-op - Safety, Commercial & Residential Solutions (Summer 2019)","PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
127,Emerson Electric Co,2019-01-01,Co-op - Air Conditioning Sales (Summer 2019),"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
128,Emerson Electric Co,2019-01-01,Co-op - Polymer Engineering (Summer 2019),"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
129,Emerson Electric Co,2019-01-01,Co-op - Digital Product Support (Summer 2019),"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
130,Best Buy,2019-01-01,Best Buy Mobile Sales Consultant,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
131,Emerson Electric Co,2019-01-01,Co-op - Materials Engineering (Summer 2019),"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
132,Emerson Electric Co,2019-01-01,Co-op - User Experience (UX) Design (Summer 2019),"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
